"reference","lng","lat""orders"
pup4462,22.1022181,-34.1578731,37
pup3611,28.3134052,-26.1847308,640
pup4814,27.9581492,-26.4433792,2
pup2029,28.2501472,-25.6607227,1262
pup3504,18.4927177,-34.027472,143
pup3598,28.2737074,-25.7829818,
pup678,22.204944,-33.590176,3543
pup4377,28.1191527,-26.2686612,14
pup1870,18.9661306,-33.7312093,72
pup2354,29.4475793,-23.904339,479
pup998,28.093605,-26.247468,1159
pup2173,29.9389192,-30.2647634,1982
pup63,28.23975,-26.050378,613
pup4245,32.047887,-28.7541273,523
pup284,28.595622,-27.025914,296
pup844,26.209014,-29.110474,755
pup3265,27.8345594,-26.060132,831
pup4789,28.4057057,-24.7020508,10
pup476,30.45348,-25.094794,723
pup1503,28.1170677,-26.1803736,629
pup2792,30.8117313,-29.7489553,631
pup2843,18.5081224,-33.8938451,562
pup923,25.526867,-33.970044,1491
pup3711,18.8170018,-34.0686858,
pup4390,30.3726836,-29.6031122,85
pup1549,28.1948378,-25.7446852,2469
pup711,27.993592,-26.039377,4855
pup4239,25.6166161,-25.8648417,80
pup1962,28.3758093,-26.492501,343
pup4088,28.372911,-26.353265,6
pup3163,27.2329545,-25.6766146,523
pup277,18.503342,-33.962046,805
pup70,28.245259,-26.246329,1599
pup2411,18.6970107,-33.9484705,1527
pup1618,25.9840629,-27.199953,1184
pup645,27.973733,-26.130751,5000
pup3829,32.0471105,-28.7550062,1329
pup1578,18.4871309,-33.9042016,391
pup1586,18.4787473,-33.7861408,2026
pup1959,26.5225867,-33.3094074,652
pup2493,28.1886,-25.7491999,170
pup4727,25.5499462,-33.9805032,13
pup4839,27.9226803,-26.2370987,2
pup1794,18.9666685,-33.7311818,34
pup2027,28.1861798,-25.8578964,1139
pup2683,27.9015884,-33.0134003,8
pup422,18.583212,-33.996849,528
pup3593,28.0048464,-26.0195401,
pup1550,30.9362086,-29.8480064,2023
pup377,29.487129,-23.904218,557
pup3695,28.1352463,-25.872314,747
pup3857,18.4492721,-33.9296633,92
pup1817,27.5698856,-28.913915,45
pup4295,23.3686224,-34.0547086,639
pup4599,29.7160331,-23.5034437,24
pup4447,24.765848,-27.550766,34
pup979,27.924969,-26.104964,4723
pup3112,29.7738456,-28.5680859,1510
pup743,30.405371,-30.798791,1727
pup2030,28.13786,-25.868646,918
